	Price	City	Year	Mileage	Engine Size	Make	Model	Title	Neighborhood	Link
110	3450	newyork	YAMA	N/A	N/A	N/A		2013 Yamaha V-Star 650 ** WE FINANCE**	Wilkins Motorsports	https://newyork.craigslist.org/wch/mcd/d/patterson-2013-yamaha-star-650-we/7070745496.html
47	3457	newyork	2015	6885	300	honda	cb300f	2015 Honda CB300F	bklyn	https://newyork.craigslist.org/brk/mcd/d/brooklyn-2015-honda-cb300f/7078566360.html
37	3499	newyork	2002	24288	N/A	Honda	VTX 1800R	2002 Honda VTX 1800R  -Finance it with Instant Credit Approval!	Delivered to your Doorstep starting at $189	https://newyork.craigslist.org/mnh/mcd/d/las-vegas-2002-honda-vtx-1800r-finance/7079557417.html
48	3499	newyork	2009	2600	N/A	SUZUKI		2009 Suzuki boulevard S40	Brookyln	https://newyork.craigslist.org/brk/mcd/d/brooklyn-2009-suzuki-boulevard-s40/7078562443.html
86	3499	newyork	2015	1279	500	honda	cb500f	2015 Honda CB500F	New York	https://newyork.craigslist.org/fct/mcy/d/long-island-city-2015-honda-cb500f/7073720457.html
202	3500	newjersey	2005	N/A	1500	vulcan	1500	volcan 1500mo 2005	passaic nj	https://newjersey.craigslist.org/mcy/d/passaic-volcan-1500mo-2005/7075038909.html
68	3500	newyork	N/A	N/A	N/A	ducati	monster 620	2006 Ducati Monster 620 Dark	Staten Island	https://newyork.craigslist.org/stn/mcy/d/staten-island-2006-ducati-monster-620/7076642837.html
172	3500	newjersey	2019	1	N/A	GPX	FSE 250E	2019 GPX FSE 250E Brand New	Highland Lakes	https://newjersey.craigslist.org/mcy/d/highland-lakes-2019-gpx-fse-250e-brand/7080901930.html
155	3500	newyork	1986	N/A	N/A	harley	davidson sportster	1986	Hicksville	https://newyork.craigslist.org/lgi/mcy/d/hicksville-1986/7065529095.html
5	3500	newyork	1982	N/A	N/A	Yamaha	XV920R	1982 Yamaha XV920R	Mount Vernon	https://newyork.craigslist.org/wch/mcy/d/mount-vernon-1982-yamaha-xv920r/7082418385.html
217	3500	newjersey	2019	1	N/A	GPX	FSE 250E	2019 GPX FSE 250E Brand New	Highland Lakes	https://newjersey.craigslist.org/mcy/d/highland-lakes-2019-gpx-fse-250e-brand/7071988429.html
242	3500	newjersey	2017	917	300	kawasaki	ninja 300 abs	2017 Kawasaki Ninja 300 ABS	FLYKITTY MOTORSPORTS.COM	https://newjersey.craigslist.org/mcd/d/monticello-2017-kawasaki-ninja-300-abs/7067096769.html
103	3500	newyork	2015	200	N/A	yamaha	r3	2015 Yamaha R3	N/A	https://newyork.craigslist.org/stn/mcy/d/staten-island-2015-yamaha-r3/7071474888.html
215	3500	newjersey	2001	9000	1100	Yamaha		2001 Yamaha Vstar	N/A	https://newjersey.craigslist.org/mcy/d/west-milford-2001-yamaha-vstar/7072103789.html
96	3500	newyork	2016	N/A	N/A	Quantum		Quantum Wheelchair for  Sale 2016	Gramercy	https://newyork.craigslist.org/mnh/mcy/d/new-york-quantum-wheelchair-for-sale/7072327754.html
