	Price	City	Year	Mileage	Engine Size	Make	Model	Title	Neighborhood	Link
227	3999	newjersey	2019	0	600	Kawasaki	Ninja 400 ZX10R ZX6R	2019 Kawasaki® Ninja® Supersport Motorcycles **Zero Down $52 a month**	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2019-kawasaki-ninja/7070186248.html
176	3999	newjersey	2006	12333	1000	suzuki	vstrom dl1000	2006 Suzuki VStrom DL 1000	Sussex County	https://newjersey.craigslist.org/mcy/d/andover-2006-suzuki-vstrom-dl-1000/7080294665.html
177	3999	newjersey	2019	0	600	Kawasaki	Ninja 400 ZX10R ZX6R	2019 Kawasaki® Ninja® Supersport Motorcycles **Zero Down $52 a month**	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2019-kawasaki-ninja/7080231903.html
246	3999	newjersey	2019	0	600	Kawasaki	Ninja 400 ZX10R ZX6R	2019 Kawasaki® Ninja® Supersport Motorcycles **Zero Down $52 a month**	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2019-kawasaki-ninja/7065853272.html
192	3999	newjersey	2009	10625	N/A	suzuki	drz400s	2009 SUZUKI DRZ400S	Nesquehoning	https://newjersey.craigslist.org/mcd/d/nesquehoning-2009-suzuki-drz400s/7077792142.html
207	3999	newjersey	2019	0	600	Kawasaki	Ninja 400 ZX10R ZX6R	2019 Kawasaki® Ninja® Supersport Motorcycles **Zero Down $52 a month**	Toms River	https://newjersey.craigslist.org/mcd/d/island-heights-2019-kawasaki-ninja/7073934561.html
182	3999	newjersey	1981	N/A	N/A	yamaha	xs650	Custom 1981 Yamaha XS650 / Harley Bobber	wayne	https://newjersey.craigslist.org/mcy/d/wayne-custom-1981-yamaha-xs650-harley/7079781567.html
71	4000	newyork	2006	3000	1200	harley	davidson sportster	2006 xl1200c low miles	Sunset park	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2006-xl1200c-low-miles/7076441496.html
166	4000	newjersey	N/A	N/A	N/A	harley	davidson electraglide	81 shovel head	Hardwick	https://newjersey.craigslist.org/mcy/d/blairstown-81-shovel-head/7082404547.html
79	4000	newyork	2009	14000	N/A	Honda	Shadow 750	2009 Honda Shadow 750	Bridgeport	https://newyork.craigslist.org/fct/mcy/d/bridgeport-2009-honda-shadow-750/7074743998.html
56	4000	newyork	2007	11000	1200	harley	davidson sportster 1200	Harley Davidson sportster	Bronx	https://newyork.craigslist.org/brx/mcy/d/bronx-harley-davidson-sportster/7078303043.html
85	4000	newyork	2008	N/A	400	suzuki	drz400sm	Suzuki DRZ400SM 2008	Hauppauge	https://newyork.craigslist.org/lgi/mcy/d/hauppauge-suzuki-drz400sm-2008/7073746258.html
144	4000	newyork	2014	14300	650	kawasaki	ninja 650R abs	2014 Kawasaki ninja 650r abs	Bx	https://newyork.craigslist.org/brx/mcy/d/bronx-2014-kawasaki-ninja-650r-abs/7067825625.html
143	4000	newyork	2005	6600	1200	Harley	Davidson Sportster	2005 Harley Davidson Sportster 1200	Cedarhurst	https://newyork.craigslist.org/lgi/mcy/d/cedarhurst-2005-harley-davidson/7068202352.html
115	4000	newyork	2018	2000	400	kawasaki	ninja 400 abs	Kawasaki Ninja 400 ABS low miles Black and Red	Rego Park	https://newyork.craigslist.org/que/mcy/d/forest-hills-kawasaki-ninja-400-abs-low/7070440775.html
212	4000	newjersey	2004	N/A	1100	Honda	Shadow	2004 Honda Shadow 1100	Madison	https://newjersey.craigslist.org/mcy/d/madison-2004-honda-shadow-1100/7072643194.html
267	4000	newjersey	2007	2500	650	Hond	XR 650L	2007 Honda XR650L	Northport	https://newyork.craigslist.org/lgi/mcy/d/northport-2007-honda-xr650l/7081205965.html
132	4000	newyork	N/A	N/A	N/A	harley	davidson xlh1000	1981 sportster chopper	West islip	https://newyork.craigslist.org/lgi/mcy/d/west-islip-1981-sportster-chopper/7069297914.html
13	4000	newyork	2007	2500	650	Hond	XR 650L	2007 Honda XR650L	Northport	https://newyork.craigslist.org/lgi/mcy/d/northport-2007-honda-xr650l/7081205965.html
124	4000	newyork	N/A	5000	N/A	suzuki	gsxr 1000	2003 Suzuki gsxr1000	Midwood	https://newyork.craigslist.org/brk/mcy/d/brooklyn-2003-suzuki-gsxr1000/7069688790.html
99	4000	newyork	N/A	N/A	N/A	honda	cb750	Kawasaki Ninja 650	N/A	https://newyork.craigslist.org/wch/mcy/d/rye-kawasaki-ninja-650/7072114414.html
120	4000	newyork	2008	22600	600	Honda	CBR600rr	Honda CBR600 Sport Motorcycle	Queens - Long Island	https://newyork.craigslist.org/lgi/mcy/d/bellerose-honda-cbr600-sport-motorcycle/7069842708.html
102	4000	newyork	2016	5	250	honda	rebel 250	As is 2016 Honda Rebel with less than 5 miles	Inwood / Wash Hts	https://newyork.craigslist.org/mnh/mcy/d/new-york-as-is-2016-honda-rebel-with/7071770152.html
253	4000	newjersey	2004	N/A	N/A	suzuki	gsxr 750	2004 gsxr 750 for sale	Newark	https://newjersey.craigslist.org/mcy/d/newark-2004-gsxr-750-for-sale/7063816826.html
89	4000	newyork	N/A	N/A	N/A	honda	cbr1000rr	HONDA CBR 1000RR	Bushwick	https://newyork.craigslist.org/brk/mcy/d/brooklyn-honda-cbr-1000rr/7073245528.html
226	4000	newjersey	2005	8500	N/A	honda	xr650l	2005 Honda 650l	North Arlington	https://newjersey.craigslist.org/mcy/d/north-arlington-2005-honda-650l/7070188655.html
